# Formatted as follows : image_name;palette_name;palette_offset;sprites_per_row

# Unused sprites

sprites/UnusedSprites.gfx.lz;sprites/UnusedSprites.pal;0;4

# Item banner

sprites/ItemBanner.gfx.lz;sprites/ItemBanner.pal;0;32

# Zoomer

sprites/Zoomer.gfx.lz;sprites/Zoomer.pal;0;32

# Zeela

sprites/Zeela.gfx.lz;sprites/Zeela.pal;0;32

# Ripper

sprites/RipperBrown.gfx.lz;sprites/RipperBrown.pal;0;32

sprites/RipperPurple.gfx.lz;sprites/RipperPurple.pal;0;32

# Zeb

sprites/ZebPink.gfx.lz;sprites/ZebPink.pal;0;32

sprites/ZebBlue.gfx.lz;sprites/ZebBlue.pal;0;32

# Skree

sprites/SkreeGreen.gfx.lz;sprites/SkreeGreen.pal;0;32

sprites/SkreeBlue.gfx.lz;sprites/SkreeBlue.pal;0;32

# Morph ball

sprites/MorphBall.gfx.lz;sprites/MorphBall.pal;0;32

# Chozo statue

sprites/ChozoStatueLongBeam.gfx.lz;sprites/ChozoStatueLongBeam.pal;0;32

sprites/ChozoStatueIceBeam.gfx.lz;sprites/ChozoStatueIceBeam.pal;0;32

sprites/ChozoStatueWaveBeam.gfx.lz;sprites/ChozoStatueWaveBeam.pal;0;32

sprites/ChozoStatueBomb.gfx.lz;sprites/ChozoStatueBomb.pal;0;32

sprites/ChozoStatueSpeedbooster.gfx.lz;sprites/ChozoStatueSpeedbooster.pal;0;32

sprites/ChozoStatueHighJump.gfx.lz;sprites/ChozoStatueHighJump.pal;0;32

sprites/ChozoStatueScrewAttack.gfx.lz;sprites/ChozoStatueScrewAttack.pal;0;32

sprites/ChozoStatueVariaSuit.gfx.lz;sprites/ChozoStatueVariaSuit.pal;0;32

# Sova

sprites/Sova.gfx.lz;sprites/Sova.pal;0;32

# Multiviola

sprites/Multiviola.gfx.lz;sprites/Multiviola.pal;0;32

# Geruta

sprites/GerutaRed.gfx.lz;sprites/GerutaRed.pal;0;32

sprites/GerutaGreen.gfx.lz;sprites/GerutaGreen.pal;0;32

# Squeept

sprites/Squeept.gfx.lz;sprites/Squeept.pal;0;32

# Map station

sprites/MapStation.gfx.lz;sprites/MapStation.pal;0;32

# Dragon

sprites/Dragon.gfx.lz;sprites/Dragon.pal;0;32

# Deorem

sprites/Deorem.gfx.lz;sprites/Deorem.pal;0;32

# Zipline

sprites/Zipline.gfx.lz;sprites/Zipline.pal;0;32

# Reo

sprites/ReoGreenWings.gfx.lz;sprites/ReoGreenWings.pal;0;32

sprites/ReoPurpleWings.gfx.lz;sprites/ReoPurpleWings.pal;0;32

# Gunship

sprites/Gunship.gfx.lz;sprites/Gunship.pal;0;32

# Charge beam

sprites/ChargeBeam.gfx.lz;sprites/ChargeBeam.pal;0;32

# Skultera

sprites/Skultera.gfx.lz;sprites/Skultera.pal;0;32

# Dessgeega

sprites/Dessgeega.gfx.lz;sprites/Dessgeega.pal;0;32

# Waver

sprites/Waver.gfx.lz;sprites/Waver.pal;0;32

# Hive

sprites/Hive.gfx.lz;sprites/Hive.pal;0;32

# Power grip

sprites/PowerGrip.gfx.lz;sprites/PowerGrip.pal;0;32

# Imago larva

sprites/ImagoLarva.gfx.lz;sprites/ImagoLarva.pal;0;32

# Morph ball launcher

sprites/MorphBallLauncher.gfx.lz;sprites/MorphBallLauncher.pal;0;32

# Imago cocoon

sprites/ImagoCocoon.gfx.lz;sprites/ImagoCocoon.pal;0;32

# Elevator pad

sprites/ElevatorPad.gfx.lz;sprites/ElevatorPad.pal;0;32

# Space pirate

sprites/SpacePirate.gfx.lz;sprites/SpacePirate.pal;0;32

# Gamet

sprites/GametBlue.gfx.lz;sprites/GametBlue.pal;0;32

sprites/GametRed.gfx.lz;sprites/GametRed.pal;0;32

# Unknown item chozo statue

sprites/ChozoStatueSpaceJump.gfx.lz;sprites/ChozoStatueSpaceJump.pal;0;32

sprites/ChozoStatueGravitySuit.gfx.lz;sprites/ChozoStatueGravitySuit.pal;0;32

sprites/ChozoStatuePlasmaBeam.gfx.lz;sprites/ChozoStatuePlasmaBeam.pal;0;32

# Security gate

sprites/SecurityGate.gfx.lz;sprites/SecurityGate.pal;0;32

# Zebbo

sprites/ZebboGreen.gfx.lz;sprites/ZebboGreen.pal;0;32

sprites/ZebboYellow.gfx.lz;sprites/ZebboYellow.pal;0;32

# Worker robot

sprites/WorkerRobot.gfx.lz;sprites/WorkerRobot.pal;0;32

# Parasite

sprites/Parasite.gfx.lz;sprites/Parasite.pal;0;32

# Piston 

sprites/Piston.gfx.lz;sprites/Piston.pal;0;32

# Ridley

sprites/Ridley.gfx.lz;sprites/Ridley.pal;0;32

# Zipline generator

sprites/ZiplineGenerator.gfx.lz;sprites/ZiplineGenerator.pal;0;32

# Metroid

sprites/Metroid.gfx.lz;sprites/Metroid.pal;0;32

# Rinka

sprites/RinkaOrange.gfx.lz;sprites/RinkaOrange.pal;0;32

sprites/RinkaGreen.gfx.lz;sprites/RinkaGreen.pal;0;32

# Polyp

sprites/Polyp.gfx.lz;sprites/Polyp.pal;0;32

# Viola

sprites/ViolaBlue.gfx.lz;sprites/ViolaBlue.pal;0;32

sprites/ViolaOrange.gfx.lz;sprites/ViolaOrange.pal;0;32

# Geron norfair

sprites/GeronNorfair.gfx.lz;sprites/GeronNorfair.pal;0;32

# Holtz

sprites/Holtz.gfx.lz;sprites/Holtz.pal;0;32

# Gekitai machine

sprites/GekitaiMachine.gfx.lz;sprites/GekitaiMachine.pal;0;32

# Ruins test

sprites/RuinsTest.gfx.lz;sprites/RuinsTest.pal;0;32

sprites/RuinsTest_SamusReflectionTurningRightTop.gfx;sprites/RuinsTest_SamusReflection.pal;0;12
sprites/RuinsTest_SamusReflectionTurningRightBottom.gfx;sprites/RuinsTest_SamusReflection.pal;0;8
sprites/RuinsTest_SamusReflectionTurningLeftTop.gfx;sprites/RuinsTest_SamusReflection.pal;0;12
sprites/RuinsTest_SamusReflectionTurningLeftBottom.gfx;sprites/RuinsTest_SamusReflection.pal;0;8

sprites/RuinsTest_SamusReflectionFullSuitTop.gfx;sprites/RuinsTest_SamusReflectionFullSuit.pal;0;12
sprites/RuinsTest_SamusReflectionFullSuitBottom.gfx;sprites/RuinsTest_SamusReflectionFullSuit.pal;0;8
